iter	RMSE
0	11921.62796
1	11829.9514
2	11738.99478
3	11660.04533
4	11570.41593
5	11482.15285
6	11403.5994
7	11326.83532
8	11250.40044
9	11164.13426
10	11077.57848
11	11003.56172
12	10922.793
13	10849.66573
14	10775.81482
15	10699.04406
16	10621.06541
17	10543.63608
18	10464.56671
19	10395.32673
20	10320.33643
21	10247.57383
22	10182.65681
23	10109.05327
24	10036.09441
25	9971.47712
26	9903.120474
27	9836.994039
28	9771.608475
29	9702.111658
30	9639.703386
31	9578.108909
32	9513.591142
33	9447.530362
34	9381.690765
35	9316.800139
36	9259.9291
37	9196.312446
38	9141.908988
39	9091.669121
40	9030.126109
41	8974.614341
42	8913.000741
43	8853.857879
44	8795.120328
45	8736.747807
46	8679.910118
47	8623.578849
48	8574.168498
49	8525.665746
50	8479.860911
51	8428.140663
52	8382.586491
53	8329.212067
54	8283.280232
55	8235.005019
56	8188.286077
57	8138.807431
58	8094.37902
59	8045.104627
60	8004.528615
61	7963.978207
62	7917.214592
63	7869.806409
64	7823.556903
65	7778.598731
66	7736.371237
67	7691.20823
68	7647.563802
69	7606.677132
70	7567.275148
71	7526.085433
72	7484.814623
73	7443.889905
74	7402.849742
75	7370.020165
76	7336.524149
77	7295.807739
78	7263.386208
79	7224.803937
80	7185.693376
81	7155.109723
82	7119.064676
83	7082.982561
84	7046.114679
85	7013.424126
86	6976.794732
87	6942.387088
88	6913.585078
89	6879.569946
90	6845.590455
91	6813.550304
92	6781.170953
93	6753.295661
94	6732.009045
95	6703.542161
96	6672.234835
97	6646.504014
98	6615.125352
99	6590.722388
100	6565.657768
101	6537.003884
102	6513.524696
103	6485.456711
104	6458.335439
105	6435.929949
106	6410.203781
107	6385.824087
108	6359.168205
109	6331.667324
110	6308.593649
111	6286.60446
112	6261.103726
113	6236.479443
114	6211.206955
115	6187.345431
116	6166.626091
117	6144.617307
118	6125.131059
119	6106.178518
120	6085.730434
121	6064.153376
122	6045.442056
123	6025.814823
124	6005.070568
125	5983.637838
126	5961.640517
127	5942.739758
128	5922.855142
129	5906.7784
130	5886.099491
131	5866.987083
132	5849.118064
133	5829.889191
134	5813.758246
135	5794.940016
136	5777.576219
137	5760.510142
138	5742.327501
139	5723.400073
140	5705.767173
141	5689.466991
142	5674.747949
143	5657.311242
144	5639.882732
145	5622.887785
146	5605.873837
147	5589.13423
148	5573.1324
149	5558.260126
150	5543.462883
151	5528.570772
152	5514.238224
153	5500.925643
154	5489.26216
155	5477.913036
156	5465.639297
157	5453.106198
158	5438.454527
159	5428.308222
160	5415.854957
161	5402.734778
162	5390.802542
163	5380.231458
164	5367.608343
165	5354.76125
166	5342.465389
167	5332.307005
168	5325.918544
169	5316.830316
170	5306.569184
171	5297.8676
172	5288.322483
173	5277.423824
174	5269.39232
175	5258.603915
176	5249.021384
177	5238.544388
178	5227.425008
179	5218.888064
180	5208.989677
181	5198.670135
182	5189.968492
183	5181.094801
184	5171.83081
185	5166.092615
186	5159.077662
187	5151.232151
188	5141.777101
189	5135.145527
190	5126.401331
191	5118.138411
192	5111.346243
193	5104.012999
194	5095.166397
195	5088.998672
196	5084.394444
197	5076.791618
198	5068.554553
199	5062.572635
200	5053.955473
201	5045.520552
202	5038.724198
203	5031.06105
204	5022.968565
205	5015.744774
206	5010.147755
207	5004.074222
208	4997.952982
209	4993.125311
210	4987.471223
211	4980.221774
212	4973.992403
213	4968.747603
214	4962.683384
215	4956.436823
216	4951.499941
217	4945.433085
218	4939.400561
219	4932.968991
220	4927.886628
221	4921.597329
222	4917.329344
223	4912.848542
224	4907.853881
225	4903.226772
226	4897.220474
227	4892.505169
228	4887.351365
229	4882.16519
230	4876.540442
231	4871.703656
232	4866.83243
233	4862.292533
234	4857.904423
235	4853.832424
236	4848.711174
237	4844.300462
238	4841.785803
239	4837.451582
240	4832.059669
241	4827.814731
242	4824.873861
243	4820.879176
244	4816.724142
245	4812.968377
246	4809.322456
247	4805.607936
248	4801.661319
249	4797.856488
250	4794.207289
251	4790.601493
252	4787.43538
253	4783.539808
254	4780.03332
255	4776.877373
256	4772.716746
257	4769.67987
258	4766.303174
259	4762.31918
260	4758.846326
261	4756.410525
262	4753.309508
263	4749.819002
264	4746.172129
265	4742.445735
266	4740.200318
267	4737.582361
268	4735.359475
269	4733.093877
270	4730.522178
271	4727.299708
272	4725.166743
273	4722.040703
274	4719.711179
275	4716.644287
276	4713.923672
277	4711.421432
278	4709.266144
279	4706.028687
280	4703.262191
281	4700.984472
282	4699.08995
283	4695.847224
284	4693.849277
285	4690.931266
286	4687.65766
287	4685.550599
288	4682.99308
289	4679.747022
290	4677.436486
291	4675.190032
292	4673.40035
293	4671.357585
294	4669.093146
295	4667.036866
296	4664.833601
297	4662.855389
298	4660.575767
299	4658.47917
300	4655.746529
301	4653.641243
302	4651.423553
303	4649.737032
304	4647.955453
305	4646.357251
306	4644.33885
307	4642.697214
308	4640.965075
309	4639.056897
310	4637.509074
311	4636.233867
312	4634.64778
313	4633.183823
314	4631.428978
315	4629.743813
316	4627.571331
317	4625.288595
318	4623.373625
319	4621.875759
320	4620.180704
321	4618.881075
322	4617.495383
323	4615.895951
324	4614.208834
325	4612.731222
326	4611.337794
327	4609.592077
328	4607.032216
329	4605.695798
330	4603.899845
331	4602.753705
332	4601.006828
333	4600.264817
334	4599.027891
335	4597.367679
336	4596.128005
337	4594.675362
338	4593.517101
339	4591.653133
340	4589.763295
341	4588.923378
342	4587.444448
343	4586.470378
344	4584.909997
345	4584.049072
346	4582.237393
347	4580.909715
348	4579.588113
349	4578.22672
350	4577.052681
351	4575.951459
352	4574.665729
353	4573.499558
354	4572.561149
355	4571.047626
356	4568.964513
357	4567.942535
358	4566.866547
359	4565.444282
360	4563.893036
361	4562.72461
362	4561.331938
363	4560.537704
364	4559.254646
365	4558.375748
366	4557.175051
367	4556.010621
368	4554.975725
369	4553.671639
370	4552.730126
371	4551.512089
372	4550.614345
373	4549.808556
374	4549.026137
375	4548.219022
376	4547.214262
377	4546.054509
378	4545.037205
379	4544.206034
380	4543.245153
381	4542.483755
382	4540.810831
383	4539.69496
384	4538.798084
385	4538.005972
386	4537.335702
387	4536.628076
388	4535.670727
389	4534.535538
390	4533.534965
391	4532.226353
392	4531.216778
393	4529.996709
394	4528.491189
395	4527.448315
396	4526.591144
397	4525.73574
398	4524.785708
399	4524.020483
400	4523.14015
401	4522.131666
402	4521.599805
403	4520.991787
404	4520.256291
405	4519.291934
406	4518.301174
407	4517.856626
408	4517.130583
409	4516.348962
410	4515.07906
411	4514.036355
412	4513.14419
413	4512.459383
414	4511.923011
415	4511.294535
416	4510.698409
417	4509.988571
418	4509.302347
419	4508.56769
420	4507.432662
421	4506.713265
422	4506.016864
423	4505.594824
424	4504.874034
425	4504.083691
426	4503.519456
427	4502.964989
428	4502.201511
429	4501.304403
430	4500.967966
431	4500.315487
432	4499.362731
433	4498.423814
434	4497.78641
435	4497.288872
436	4496.752725
437	4495.994245
438	4495.024237
439	4494.506927
440	4493.877469
441	4493.029821
442	4492.398804
443	4491.598271
444	4490.767611
445	4490.080794
446	4489.632399
447	4489.144111
448	4488.37466
449	4487.31691
450	4486.874924
451	4486.074391
452	4485.354375
453	4484.559301
454	4483.753832
455	4483.10218
456	4482.330701
457	4481.747062
458	4480.775164
459	4480.176662
460	4478.993491
461	4478.406773
462	4477.786759
463	4477.350337
464	4476.626747
465	4476.224436
466	4475.63112
467	4475.184331
468	4474.548154
469	4473.902027
470	4473.230047
471	4472.837234
472	4472.045175
473	4471.498074
474	4470.887884
475	4470.370388
476	4469.720565
477	4469.378051
478	4469.060565
479	4468.445467
480	4467.854375
481	4467.130608
482	4466.440144
483	4465.850468
484	4465.100835
485	4464.530493
486	4463.920682
487	4463.436542
488	4462.645258
489	4462.111235
490	4461.681432
491	4461.349406
492	4460.873565
493	4460.471863
494	4459.932302
495	4459.131568
496	4458.107731
497	4457.38596
498	4456.770256
499	4456.218788
500	4455.752428
501	4455.220617
502	4454.895655
503	4454.505843
504	4454.111242
505	4453.872951
506	4453.428049
507	4452.947954
508	4452.661018
509	4452.169072
510	4451.582401
511	4450.937825
512	4450.382978
513	4449.881904
514	4449.479217
515	4449.065367
516	4448.553834
517	4448.057335
518	4447.740897
519	4447.263898
520	4446.805243
521	4446.240548
522	4445.886004
523	4445.180078
524	4444.825289
525	4444.212551
526	4443.872375
527	4443.327053
528	4442.885152
529	4442.239829
530	4441.966116
531	4441.502659
532	4441.213933
533	4440.902404
534	4440.207341
535	4439.752767
536	4439.357877
537	4438.773245
538	4438.272079
539	4437.790081
540	4437.463749
541	4437.071488
542	4436.650327
543	4436.176605
544	4435.799595
545	4435.087814
546	4434.563845
547	4434.106068
548	4433.607486
549	4433.227812
550	4432.91428
551	4432.405085
552	4432.16658
553	4431.726436
554	4431.403404
555	4430.548029
556	4429.848991
557	4429.505992
558	4429.10437
559	4428.58381
560	4428.203477
561	4427.751044
