iter	Passed	Remaining
0	0	276
1	0	248
2	0	240
3	0	230
4	1	226
5	1	220
6	1	216
7	1	211
8	1	209
9	2	208
10	2	207
11	2	208
12	2	204
13	2	203
14	3	204
15	3	204
16	3	203
17	3	202
18	3	203
19	4	202
20	4	201
21	4	200
22	4	199
23	4	200
24	5	201
25	5	200
26	5	200
27	5	201
28	5	200
29	6	200
30	6	199
31	6	199
32	6	199
33	7	199
34	7	198
35	7	198
36	7	197
37	7	196
38	7	196
39	8	196
40	8	196
41	8	196
42	8	196
43	8	195
44	9	194
45	9	193
46	9	192
47	9	192
48	9	192
49	10	192
50	10	192
51	10	191
52	10	191
53	10	191
54	11	192
55	11	191
56	11	191
57	11	191
58	11	190
59	12	189
60	12	189
61	12	189
62	12	188
63	12	188
64	13	188
65	13	188
66	13	187
67	13	187
68	13	187
69	14	187
70	14	187
71	14	187
72	14	187
73	14	186
74	15	186
75	15	187
76	15	187
77	15	187
78	16	187
79	16	187
80	16	186
81	16	186
82	16	186
83	17	185
84	17	185
85	17	185
86	17	185
87	17	184
88	18	184
89	18	184
90	18	183
91	18	184
92	18	184
93	19	183
94	19	183
95	19	183
96	19	182
97	19	182
98	20	182
99	20	181
100	20	181
101	20	181
102	20	181
103	21	181
104	21	181
105	21	180
106	21	180
107	21	180
108	21	179
109	22	179
110	22	179
111	22	178
112	22	178
113	22	178
114	23	177
115	23	177
116	23	177
117	23	177
118	23	177
119	24	177
120	24	177
121	24	177
122	24	176
123	24	176
124	25	176
125	25	176
126	25	175
127	25	175
128	25	175
129	26	174
130	26	174
131	26	174
132	26	174
133	26	174
134	27	174
135	27	174
136	27	174
137	27	173
138	28	173
139	28	173
140	28	173
141	28	173
142	28	172
143	29	172
144	29	172
145	29	172
146	29	172
147	29	172
148	30	171
149	30	171
150	30	171
151	30	171
152	30	171
153	31	171
154	31	170
155	31	170
156	31	170
157	32	170
158	32	170
159	32	170
160	32	170
161	32	169
162	33	169
163	33	169
164	33	168
165	33	168
166	33	168
167	34	172
168	34	171
169	35	171
170	35	171
171	35	171
172	35	171
173	35	170
174	36	170
175	36	170
176	36	170
177	36	169
178	36	169
179	37	169
180	37	169
181	37	168
182	37	168
183	38	168
184	38	168
185	38	168
186	38	167
187	38	167
188	39	167
189	39	167
190	39	166
191	39	167
192	39	166
193	40	166
194	40	166
195	40	166
196	40	165
197	40	165
198	41	165
199	41	164
200	41	164
201	41	164
202	41	163
203	41	163
204	42	163
205	42	163
206	42	163
207	42	163
208	43	163
209	43	162
210	43	162
211	43	162
212	43	162
213	44	162
214	44	162
215	44	161
216	44	161
217	44	161
218	45	160
219	45	160
220	45	160
221	45	160
222	45	160
223	46	159
224	46	159
225	46	159
226	46	159
227	46	159
228	47	158
229	47	158
230	47	158
231	47	158
232	48	158
233	48	157
234	48	157
235	48	157
236	48	157
237	49	157
238	49	156
239	49	156
240	49	156
241	49	155
242	49	155
243	50	155
244	50	155
245	50	155
246	50	155
247	51	154
248	51	154
249	51	154
250	51	154
251	51	153
252	52	153
253	52	153
254	52	153
255	52	152
256	52	152
257	53	152
258	53	152
259	53	152
260	53	151
261	53	151
262	53	151
263	54	150
264	54	150
265	54	150
266	54	150
267	54	150
268	55	149
269	55	149
270	55	149
271	55	149
272	55	148
273	56	148
274	56	148
275	56	148
276	56	147
277	56	147
278	57	147
279	57	147
280	57	147
281	57	146
282	57	146
283	58	146
284	58	146
285	58	145
286	58	145
287	58	145
288	59	145
289	59	144
290	59	144
291	59	144
292	59	144
293	60	144
294	60	144
295	60	143
296	60	143
297	60	143
298	61	143
299	61	142
300	61	142
301	61	142
302	61	142
303	62	142
304	62	141
305	62	141
306	62	141
307	62	141
308	63	141
309	63	140
310	63	140
311	63	140
312	63	140
313	64	139
314	64	139
315	64	139
316	64	139
317	64	139
318	65	138
319	65	138
320	65	138
321	65	138
322	65	137
323	65	137
324	66	137
325	66	137
326	66	136
327	66	136
328	66	136
329	67	136
330	67	136
331	67	135
332	67	135
333	67	135
334	68	135
335	68	134
336	68	134
337	68	134
338	68	134
339	68	133
340	69	133
341	69	133
342	69	133
343	69	132
344	69	132
345	70	132
346	70	132
347	70	132
348	70	131
349	70	131
350	71	131
351	71	131
352	71	130
353	71	130
354	71	130
355	71	130
356	72	129
357	72	129
358	72	129
359	72	129
360	72	129
361	73	129
362	73	128
363	73	128
364	73	128
365	73	128
366	74	127
367	74	127
368	74	127
369	74	127
370	74	126
371	75	126
372	75	126
373	75	126
374	75	125
375	75	125
376	75	125
377	76	125
378	76	125
379	76	124
380	76	124
381	76	124
382	77	124
383	77	124
384	77	123
385	77	123
386	77	123
387	78	123
388	78	123
389	78	122
390	78	122
391	78	122
392	79	122
393	79	122
394	79	121
395	79	121
396	79	121
397	80	121
398	80	121
399	80	120
400	80	120
401	81	120
402	81	120
403	81	120
404	81	119
405	81	119
406	81	119
407	82	119
408	82	119
409	82	118
410	82	118
411	83	118
412	83	118
413	83	118
414	83	118
415	83	117
416	84	117
417	84	117
418	84	117
419	84	117
420	85	116
421	85	116
422	85	116
423	85	116
424	85	116
425	85	115
426	86	115
427	86	115
428	86	115
429	86	115
430	87	114
431	87	114
432	87	114
433	87	114
434	87	114
435	88	113
436	88	113
437	88	113
438	88	113
439	88	113
440	88	112
441	89	112
442	89	112
443	89	112
444	89	111
445	89	111
446	90	111
447	90	111
448	90	111
449	90	111
450	91	110
451	91	110
452	91	110
453	91	110
454	91	110
455	92	109
456	92	109
457	92	109
458	92	109
459	92	109
460	93	108
461	93	108
462	93	108
463	93	108
464	93	108
465	94	107
466	94	107
467	94	107
468	94	107
469	94	107
470	95	106
471	95	106
472	95	106
473	95	106
474	95	105
475	96	105
476	96	105
477	96	105
478	96	105
479	97	105
480	97	104
481	97	104
482	97	104
483	97	104
484	97	104
485	98	103
486	98	103
487	98	103
488	98	103
489	98	102
490	99	102
491	99	102
492	99	102
493	99	102
494	99	101
495	100	101
496	100	101
497	100	101
498	100	101
499	100	100
500	101	100
501	101	100
502	101	100
503	101	100
504	101	99
505	102	99
506	102	99
507	102	99
508	102	98
509	102	98
510	103	98
511	103	98
512	103	98
513	103	98
514	103	97
515	104	97
516	104	97
517	104	97
518	104	97
519	104	96
520	105	96
521	105	96
522	105	96
523	105	96
524	105	95
525	106	95
526	106	95
527	106	95
528	106	95
529	107	94
530	107	94
531	107	94
532	107	94
533	107	94
534	108	93
535	108	93
536	108	93
537	108	93
538	108	93
539	109	93
540	109	92
541	109	92
542	109	92
543	109	92
544	110	91
545	110	91
546	110	91
547	110	91
548	111	91
549	111	91
550	111	90
551	111	90
552	111	90
553	111	90
554	112	89
555	112	89
556	112	89
557	112	89
558	112	89
559	113	88
560	113	88
561	113	88
562	113	88
563	113	88
564	114	87
565	114	87
566	114	87
567	114	87
568	114	87
569	115	86
570	115	86
571	115	86
572	115	86
573	115	85
574	116	85
575	116	85
576	116	85
577	116	85
578	116	84
579	116	84
580	117	84
581	117	84
582	117	84
583	117	83
584	118	83
585	118	83
586	118	83
587	118	83
588	118	82
589	119	82
590	119	82
591	119	82
592	119	82
593	119	82
594	120	81
595	120	81
596	120	81
597	120	81
598	121	81
599	121	80
600	121	80
601	121	80
602	121	80
603	121	79
604	122	79
605	122	79
606	122	79
607	122	79
608	122	78
609	123	78
610	123	78
611	123	78
612	123	78
613	123	77
614	124	77
615	124	77
616	124	77
617	124	77
618	124	76
619	125	76
620	125	76
621	125	76
622	125	76
623	125	75
624	126	75
625	126	75
626	126	75
627	126	75
628	126	74
629	126	74
630	127	74
631	127	74
632	127	73
633	127	73
634	127	73
635	128	73
636	128	73
637	128	72
638	128	72
639	129	72
640	129	72
641	129	72
642	129	71
643	129	71
644	129	71
645	130	71
646	130	71
647	130	70
648	130	70
649	130	70
650	131	70
651	131	70
652	131	69
653	131	69
654	131	69
655	132	69
656	132	69
657	132	68
658	132	68
659	132	68
660	133	68
661	133	68
662	133	67
663	133	67
664	133	67
665	134	67
666	134	67
